date,close,high,low,open,volume
2025-11-10T00:00:00.000Z,143.95,143.98,142.275,142.93,153483.0
2025-11-11T00:00:00.000Z,147.02,148.19,146.31,147.32,227362.0
2025-11-12T00:00:00.000Z,150.14,150.56,148.98,149.0,487752.0
2025-11-13T00:00:00.000Z,147.15,150.87,147.0001,149.93,230263.0
2025-11-14T00:00:00.000Z,147.99,148.4,147.04,147.09,246749.0
2025-11-17T00:00:00.000Z,143.45,145.05,142.5,144.18,256984.0
2025-11-18T00:00:00.000Z,141.64,142.98,140.3,142.69,263137.0
2025-11-19T00:00:00.000Z,140.84,141.85,140.01,141.65,339716.0
2025-11-20T00:00:00.000Z,140.78,144.364,140.45,143.23,258711.0
2025-11-21T00:00:00.000Z,144.15,144.76,142.15,142.24,180337.0
2025-11-24T00:00:00.000Z,142.84,143.85,142.3,143.43,190215.0
2025-11-25T00:00:00.000Z,143.31,144.0,142.54,143.16,171944.0
2025-11-26T00:00:00.000Z,144.85,145.28,144.22,144.36,156186.0
2025-11-28T00:00:00.000Z,148.26,148.33,146.4,146.85,252974.0
2025-12-01T00:00:00.000Z,148.45,149.1365,147.41,147.78,205664.0
2025-12-02T00:00:00.000Z,147.99,149.0,147.24,148.7,232711.0
2025-12-03T00:00:00.000Z,147.6,147.81,146.25,147.0,127519.0
2025-12-04T00:00:00.000Z,147.49,147.8899,146.91,147.68,110370.0
2025-12-05T00:00:00.000Z,146.11,146.79,144.72,145.06,108712.0
2025-12-08T00:00:00.000Z,145.04,145.79,144.0725,144.88,190295.0
2025-12-09T00:00:00.000Z,142.9,143.82,142.84,143.52,194406.0
2025-12-10T00:00:00.000Z,146.33,147.0,142.52,142.97,148707.0
2025-12-11T00:00:00.000Z,147.18,148.0899,146.66,146.81,201978.0
2025-12-12T00:00:00.000Z,147.02,147.68,146.52,147.0,126141.0
2025-12-15T00:00:00.000Z,147.35,148.36,146.31,147.65,125891.0
2025-12-16T00:00:00.000Z,149.34,150.6699,148.78,149.04,132160.0
2025-12-17T00:00:00.000Z,147.77,148.9,147.3,147.37,181317.0
2025-12-18T00:00:00.000Z,148.49,150.2,146.91,148.4,185344.0
2025-12-19T00:00:00.000Z,147.53,149.4,147.19,148.8,280759.0
2025-12-22T00:00:00.000Z,147.81,148.1,147.11,147.78,184107.0
2025-12-23T00:00:00.000Z,148.02,148.27,147.6,148.09,128594.0
2025-12-24T00:00:00.000Z,149.35,149.42,148.03,148.03,73671.0
2025-12-26T00:00:00.000Z,149.55,149.9,148.01,148.68,75903.0
2025-12-29T00:00:00.000Z,149.1,149.72,148.17,149.72,120180.0
2025-12-30T00:00:00.000Z,150.01,150.83,149.0,149.0,103576.0
2025-12-31T00:00:00.000Z,150.81,151.88,149.5,151.88,68832.0
2026-01-02T00:00:00.000Z,150.84,151.47,149.73,151.16,139621.0
2026-01-05T00:00:00.000Z,150.64,150.7,149.155,149.44,135652.0
2026-01-06T00:00:00.000Z,151.07,151.33,148.85,148.97,147208.0
2026-01-07T00:00:00.000Z,147.07,147.83,144.8899,146.21,152936.0
2026-01-08T00:00:00.000Z,148.5,148.81,145.95,145.96,187550.0
2026-01-09T00:00:00.000Z,152.07,152.1,149.946,151.0,146426.0
2026-01-12T00:00:00.000Z,151.96,152.95,150.155,152.89,298142.0
2026-01-13T00:00:00.000Z,150.23,152.21,149.96,151.57,272482.0
2026-01-14T00:00:00.000Z,148.33,150.85,147.71,150.39,263801.0
2026-01-15T00:00:00.000Z,144.47,147.48,144.45,147.39,201881.0
2026-01-16T00:00:00.000Z,141.38,141.82,139.54,141.35,183813.0
2026-01-20T00:00:00.000Z,132.95,134.38,132.77,133.28,269374.0
2026-01-21T00:00:00.000Z,138.35,140.05,135.772,136.5,820046.0
2026-01-22T00:00:00.000Z,139.62,140.37,139.14,139.25,200354.0
2026-01-23T00:00:00.000Z,139.77,139.85,137.82,138.23,139232.0
2026-01-26T00:00:00.000Z,139.495,140.602,139.21,139.76,185945.0
2026-01-27T00:00:00.000Z,137.25,142.72,136.7,140.35,561780.0
2026-01-28T00:00:00.000Z,129.41,132.04,129.35,129.81,548622.0
2026-01-29T00:00:00.000Z,130.6,131.46,129.41,131.41,539077.0
2026-01-30T00:00:00.000Z,129.28,131.0775,129.0,130.42,274397.0
2026-02-02T00:00:00.000Z,127.51,128.77,126.8301,128.5,435504.0
